id	dam	sire
b01134	a00001	b00013
a01135	a00001	b00013
b01136	a00001	b00013
b01137	a00001	b00009
b01138	a00001	b00009
a01139	a00001	b00009
a01140	a00001	b00009
a01141	a00018	b00010
a01142	a00018	b00010
a01143	a00018	b00010
a01144	a00018	b00010
b01145	a00004	b00004
b01146	a00004	b00004
b01147	a00004	b00004
a01148	a00004	b00004
b01149	a00009	b00005
a01150	a00009	b00005
b01151	a00009	b00005
a01152	a00009	b00005
b01153	a00021	b00002
a01154	a00021	b00002
a01155	a00021	b00002
a01156	a00021	b00002
a01157	a00020	b00005
a01158	a00020	b00005
b01159	a00020	b00005
b01160	a00020	b00005
b01161	a00012	b00007
a01162	a00012	b00007
a01163	a00012	b00007
b01164	a00012	b00007
b01165	a00024	b00002
a01166	a00024	b00002
a01167	a00024	b00002
b01168	a00024	b00002
a01169	a00009	b00013
a01170	a00009	b00013
a01171	a00009	b00013
b01172	a00009	b00013
a01173	a00022	b00016
b01174	a00022	b00016
b01175	a00022	b00016
a01176	a00022	b00016
a01177	a00022	b00016
b01178	a00022	b00016
a01179	a00022	b00016
b01180	a00022	b00016
a01181	a00007	b00012
b01182	a00007	b00012
a01183	a00007	b00012
b01184	a00007	b00012
a01185	a00014	b00008
a01186	a00014	b00008
b01187	a00014	b00008
b01188	a00014	b00008
a01189	a00012	b00007
a01190	a00012	b00007
b01191	a00012	b00007
a01192	a00012	b00007
a02001	a01031	b01044
a02002	a01031	b01044
b02003	a01031	b01044
b02004	a01031	b01044
b02005	a01029	b01096
a02006	a01029	b01096
b02007	a01029	b01096
a02008	a01029	b01096
b02009	a01157	b01151
a02010	a01157	b01151
a02011	a01157	b01151
b02012	a01157	b01151
a02013	a01002	b01151
b02014	a01002	b01151
a02015	a01002	b01151
a02016	a01002	b01151
a02017	a01185	b01191
a02018	a01185	b01191
a02019	a01185	b01191
a02020	a01185	b01191
b02021	a01185	b01067
b02022	a01185	b01067
a02023	a01185	b01067
b02024	a01185	b01067
a02025	a01103	b01045
b02026	a01103	b01045
b02027	a01103	b01045
b02028	a01103	b01045
a02029	a01166	b01133
a02030	a01166	b01133
a02031	a01166	b01133
b02032	a01166	b01133
b02033	a01051	b01159
b02034	a01051	b01159
a02035	a01051	b01159
b02036	a01051	b01159
b02037	a01002	b01045
a02038	a01002	b01045
b02039	a01002	b01045
a02040	a01002	b01045
a02041	a01008	b01127
b02042	a01008	b01127
b02043	a01008	b01127
a02044	a01008	b01127
b02045	a01122	b01100
a02046	a01122	b01100
a02047	a01122	b01100
b02048	a01122	b01100
a02049	a01051	b01133
b02050	a01051	b01133
a02051	a01051	b01133
a02052	a01051	b01133
a02053	a01062	b01021
b02054	a01062	b01021
b02055	a01062	b01021
a02056	a01062	b01021
a02057	a01035	b01100
a02058	a01035	b01100
b02059	a01035	b01100
b02060	a01035	b01100
b02061	a01025	b01159
a02062	a01025	b01159
a02063	a01025	b01159
b02064	a01025	b01159
a02065	a01140	b01040
b02066	a01140	b01040
b02067	a01140	b01040
a02068	a01140	b01040
a02069	a01176	b01014
b02070	a01176	b01014
b02071	a01176	b01014
b02072	a01176	b01014
a02073	a01108	b01040
b02074	a01108	b01040
a02075	a01108	b01040
a02076	a01108	b01040
b02077	a01027	b01096
a02078	a01027	b01096
a02079	a01027	b01096
b02080	a01027	b01096
b02081	a01070	b01069
a02082	a01070	b01069
b02083	a01070	b01069
a02084	a01070	b01069
b02085	a01070	b01159
a02086	a01070	b01159
b02087	a01070	b01159
b02088	a01070	b01159
b02089	a01062	b01191
a02090	a01062	b01191
b02091	a01062	b01191
b02092	a01062	b01191
a02093	a01027	b01127
a02094	a01027	b01127
b02095	a01027	b01127
a02096	a01027	b01127
a02097	a01103	b01172
b02098	a01103	b01172
a02099	a01103	b01172
a02100	a01103	b01172
a02101	a01144	b01044
a02102	a01144	b01044
b02103	a01144	b01044
a02104	a01144	b01044
a02105	a01181	b01045
a02106	a01181	b01045
a02107	a01181	b01045
a02108	a01181	b01045
a02109	a01148	b01133
a02110	a01148	b01133
a02111	a01148	b01133
a02112	a01148	b01133
a02113	a01056	b01172
a02114	a01056	b01172
b02115	a01056	b01172
a02116	a01056	b01172
a02117	a01162	b01147
a02118	a01162	b01147
a02119	a01162	b01147
a02120	a01162	b01147
a02121	a01130	b01151
a02122	a01130	b01151
a02123	a01130	b01151
a02124	a01130	b01151
b02125	a01031	b01044
a02126	a01031	b01044
b02127	a01031	b01044
b02128	a01031	b01044
b02129	a01140	b01191
b02130	a01140	b01191
a02131	a01140	b01191
a02132	a01140	b01191
a02133	a01181	b01021
b02134	a01181	b01021
b02135	a01181	b01021
a02136	a01181	b01021
a02137	a01130	b01014
b02138	a01130	b01014
a02139	a01130	b01014
a02140	a01130	b01014
a02141	a01144	b01069
b02142	a01144	b01069
b02143	a01144	b01069
b02144	a01144	b01069
a02145	a01025	b01067
a02146	a01025	b01067
b02147	a01025	b01067
b02148	a01025	b01067
b02149	a01176	b01014
b02150	a01176	b01014
b02151	a01176	b01014
b02152	a01176	b01014
b02153	a01008	b01069
a02154	a01008	b01069
b02155	a01008	b01069
a02156	a01008	b01069
b02157	a01122	b01067
b02158	a01122	b01067
b02159	a01122	b01067
a02160	a01122	b01067
b02161	a01056	b01127
b02162	a01056	b01127
a02163	a01056	b01127
a02164	a01056	b01127
b02165	a01157	b01172
a02166	a01157	b01172
b02167	a01157	b01172
b02168	a01157	b01172
a02169	a01035	b01040
b02170	a01035	b01040
a02171	a01035	b01040
b02172	a01035	b01040
a02173	a01148	b01100
b02174	a01148	b01100
a02175	a01148	b01100
a02176	a01148	b01100
a02177	a01166	b01147
a02178	a01166	b01147
b02179	a01166	b01147
b02180	a01166	b01147
b02181	a01162	b01147
b02182	a01162	b01147
b02183	a01162	b01147
b02184	a01162	b01147
a02185	a01029	b01021
b02186	a01029	b01021
b02187	a01029	b01021
b02188	a01029	b01021
a02189	a01108	b01096
a02190	a01108	b01096
b02191	a01108	b01096
a02192	a01108	b01096
a03001	a02177	b02033
b03002	a02177	b02033
a03003	a02177	b02033
b03004	a02177	b02033
b03005	a02069	b02014
a03006	a02069	b02014
a03007	a02069	b02014
a03008	a02069	b02014
b03009	a02106	b02181
a03010	a02106	b02181
b03011	a02106	b02181
b03012	a02106	b02181
b03013	a02112	b02055
b03014	a02112	b02055
a03015	a02112	b02055
a03016	a02112	b02055
b03017	a02006	b02070
b03018	a02006	b02070
b03019	a02006	b02070
b03020	a02006	b02070
b03021	a02140	b02014
b03022	a02140	b02014
b03023	a02140	b02014
b03024	a02140	b02014
b03025	a02185	b02134
a03026	a02185	b02134
a03027	a02185	b02134
b03028	a02185	b02134
b03029	a02133	b02061
b03030	a02133	b02061
a03031	a02133	b02061
b03032	a02133	b02061
b03033	a02065	b02151
a03034	a02065	b02151
b03035	a02065	b02151
a03036	a02065	b02151
b03037	a02001	b02115
b03038	a02001	b02115
b03039	a02001	b02115
b03040	a02001	b02115
b03041	a02116	b02157
a03042	a02116	b02157
b03043	a02116	b02157
b03044	a02116	b02157
a03045	a02006	b02071
b03046	a02006	b02071
b03047	a02006	b02071
b03048	a02006	b02071
a03049	a02112	b02158
b03050	a02112	b02158
a03051	a02112	b02158
a03052	a02112	b02158
b03053	a02069	b02071
b03054	a02069	b02071
a03055	a02069	b02071
b03056	a02069	b02071
b03057	a02084	b02187
a03058	a02084	b02187
a03059	a02084	b02187
a03060	a02084	b02187
a03061	a02109	b02033
b03062	a02109	b02033
a03063	a02109	b02033
a03064	a02109	b02033
a03065	a02109	b02061
b03066	a02109	b02061
b03067	a02109	b02061
b03068	a02109	b02061
b03069	a02160	b02055
a03070	a02160	b02055
a03071	a02160	b02055
a03072	a02160	b02055
a03073	a02133	b02115
a03074	a02133	b02115
b03075	a02133	b02115
b03076	a02133	b02115
b03077	a02140	b02034
a03078	a02140	b02034
b03079	a02140	b02034
a03080	a02140	b02034
b03081	a02177	b02134
a03082	a02177	b02134
a03083	a02177	b02134
a03084	a02177	b02134
b03085	a02044	b02014
b03086	a02044	b02014
a03087	a02044	b02014
a03088	a02044	b02014
a03089	a02116	b02012
b03090	a02116	b02012
a03091	a02116	b02012
b03092	a02116	b02012
b03093	a02044	b02034
b03094	a02044	b02034
b03095	a02044	b02034
b03096	a02044	b02034
b03097	a02106	b02158
a03098	a02106	b02158
a03099	a02106	b02158
a03100	a02106	b02158
b03101	a02065	b02143
a03102	a02065	b02143
a03103	a02065	b02143
b03104	a02065	b02143
a03105	a02124	b02012
a03106	a02124	b02012
a03107	a02124	b02012
a03108	a02124	b02012
b03109	a02107	b02187
b03110	a02107	b02187
a03111	a02107	b02187
a03112	a02107	b02187
a03113	a02107	b02181
b03114	a02107	b02181
b03115	a02107	b02181
a03116	a02107	b02181
b03117	a02084	b02187
b03118	a02084	b02187
b03119	a02084	b02187
b03120	a02084	b02187
a03121	a02166	b02157
a03122	a02166	b02157
b03123	a02166	b02157
a03124	a02166	b02157
b03125	a02120	b02115
a03126	a02120	b02115
b03127	a02120	b02115
a03128	a02120	b02115
b03129	a02104	b02033
b03130	a02104	b02033
b03131	a02104	b02033
a03132	a02104	b02033
a03133	a02001	b02157
b03134	a02001	b02157
b03135	a02001	b02157
b03136	a02001	b02157
b03137	a02192	b02151
b03138	a02192	b02151
b03139	a02192	b02151
a03140	a02192	b02151
a03141	a02015	b02070
b03142	a02015	b02070
a03143	a02015	b02070
a03144	a02015	b02070
b03145	a02104	b02143
b03146	a02104	b02143
a03147	a02104	b02143
a03148	a02104	b02143
b03149	a02051	b02134
b03150	a02051	b02134
b03151	a02051	b02134
a03152	a02051	b02134
b03153	a02015	b02034
a03154	a02015	b02034
b03155	a02015	b02034
b03156	a02015	b02034
a03157	a02051	b02061
a03158	a02051	b02061
a03159	a02051	b02061
b03160	a02051	b02061
b03161	a02124	b02158
a03162	a02124	b02158
b03163	a02124	b02158
b03164	a02124	b02158
a03165	a02166	b02012
b03166	a02166	b02012
a03167	a02166	b02012
a03168	a02166	b02012
b03169	a02120	b02071
a03170	a02120	b02071
a03171	a02120	b02071
b03172	a02120	b02071
a03173	a02160	b02055
b03174	a02160	b02055
a03175	a02160	b02055
b03176	a02160	b02055
a03177	a02185	b02181
b03178	a02185	b02181
b03179	a02185	b02181
b03180	a02185	b02181
b03181	a02192	b02070
b03182	a02192	b02070
b03183	a02192	b02070
a03184	a02192	b02070
a03185	a02052	b02151
b03186	a02052	b02151
a03187	a02052	b02151
b03188	a02052	b02151
a03189	a02052	b02143
a03190	a02052	b02143
a03191	a02052	b02143
b03192	a02052	b02143
a04001	a03173	b03044
b04002	a03173	b03044
a04003	a03173	b03044
a04004	a03173	b03044
a04005	a03124	b03125
a04006	a03124	b03125
b04007	a03124	b03125
a04008	a03124	b03125
a04009	a03126	b03137
a04010	a03126	b03137
a04011	a03126	b03137
a04012	a03126	b03137
a04013	a03154	b03161
b04014	a03154	b03161
b04015	a03154	b03161
b04016	a03154	b03161
a04017	a03083	b03101
b04018	a03083	b03101
a04019	a03083	b03101
a04020	a03083	b03101
a04021	a03154	b03033
a04022	a03154	b03033
b04023	a03154	b03033
b04024	a03154	b03033
a04025	a03102	b03192
b04026	a03102	b03192
b04027	a03102	b03192
a04028	a03102	b03192
a04029	a03191	b03011
b04030	a03191	b03011
b04031	a03191	b03011
a04032	a03191	b03011
a04033	a03177	b03092
a04034	a03177	b03092
a04035	a03177	b03092
a04036	a03177	b03092
a04037	a03063	b03125
a04038	a03063	b03125
a04039	a03063	b03125
b04040	a03063	b03125
a04041	a03031	b03014
b04042	a03031	b03014
b04043	a03031	b03014
b04044	a03031	b03014
a04045	a03083	b03092
a04046	a03083	b03092
b04047	a03083	b03092
b04048	a03083	b03092
b04049	a03124	b03192
b04050	a03124	b03192
b04051	a03124	b03192
a04052	a03124	b03192
a04053	a03165	b03044
b04054	a03165	b03044
b04055	a03165	b03044
b04056	a03165	b03044
b04057	a03190	b03044
a04058	a03190	b03044
a04059	a03190	b03044
a04060	a03190	b03044
a04061	a03105	b03137
b04062	a03105	b03137
a04063	a03105	b03137
a04064	a03105	b03137
a04065	a03098	b03037
a04066	a03098	b03037
a04067	a03098	b03037
a04068	a03098	b03037
a04069	a03078	b03090
a04070	a03078	b03090
b04071	a03078	b03090
b04072	a03078	b03090
b04073	a03082	b03160
a04074	a03082	b03160
a04075	a03082	b03160
a04076	a03082	b03160
a04077	a03173	b03093
a04078	a03173	b03093
b04079	a03173	b03093
b04080	a03173	b03093
b04081	a03165	b03092
a04082	a03165	b03092
b04083	a03165	b03092
b04084	a03165	b03092
b04085	a03105	b03090
a04086	a03105	b03090
b04087	a03105	b03090
a04088	a03105	b03090
b04089	a03144	b03011
a04090	a03144	b03011
a04091	a03144	b03011
b04092	a03144	b03011
a04093	a03063	b03079
b04094	a03063	b03079
b04095	a03063	b03079
a04096	a03063	b03079
b04097	a03098	b03079
b04098	a03098	b03079
a04099	a03098	b03079
a04100	a03098	b03079
a04101	a03078	b03101
a04102	a03078	b03101
b04103	a03078	b03101
b04104	a03078	b03101
a04105	a03140	b03090
b04106	a03140	b03090
b04107	a03140	b03090
b04108	a03140	b03090
b04109	a03159	b03011
a04110	a03159	b03011
a04111	a03159	b03011
a04112	a03159	b03011
b04113	a03190	b03160
a04114	a03190	b03160
b04115	a03190	b03160
a04116	a03190	b03160
b04117	a03144	b03101
b04118	a03144	b03101
a04119	a03144	b03101
a04120	a03144	b03101
a04121	a03159	b03033
a04122	a03159	b03033
b04123	a03159	b03033
b04124	a03159	b03033
b04125	a03082	b03093
a04126	a03082	b03093
a04127	a03082	b03093
a04128	a03082	b03093
a04129	a03107	b03160
b04130	a03107	b03160
b04131	a03107	b03160
b04132	a03107	b03160
b04133	a03170	b03014
b04134	a03170	b03014
b04135	a03170	b03014
b04136	a03170	b03014
a04137	a03102	b03079
b04138	a03102	b03079
b04139	a03102	b03079
a04140	a03102	b03079
a04141	a03126	b03178
a04142	a03126	b03178
b04143	a03126	b03178
a04144	a03126	b03178
a04145	a03107	b03014
a04146	a03107	b03014
a04147	a03107	b03014
a04148	a03107	b03014
b04149	a03143	b03033
a04150	a03143	b03033
b04151	a03143	b03033
b04152	a03143	b03033
b04153	a03170	b03125
a04154	a03170	b03125
b04155	a03170	b03125
a04156	a03170	b03125
a04157	a03080	b03178
b04158	a03080	b03178
a04159	a03080	b03178
a04160	a03080	b03178
b04161	a03073	b03161
a04162	a03073	b03161
a04163	a03073	b03161
b04164	a03073	b03161
b04165	a03191	b03037
b04166	a03191	b03037
a04167	a03191	b03037
b04168	a03191	b03037
b04169	a03177	b03137
a04170	a03177	b03137
a04171	a03177	b03137
b04172	a03177	b03137
b04173	a03140	b03192
a04174	a03140	b03192
a04175	a03140	b03192
b04176	a03140	b03192
b04177	a03073	b03093
b04178	a03073	b03093
b04179	a03073	b03093
a04180	a03073	b03093
b04181	a03143	b03178
b04182	a03143	b03178
b04183	a03143	b03178
b04184	a03143	b03178
a04185	a03080	b03161
b04186	a03080	b03161
a04187	a03080	b03161
b04188	a03080	b03161
b04189	a03031	b03037
a04190	a03031	b03037
b04191	a03031	b03037
b04192	a03031	b03037
a05001	a04012	b04177
a05002	a04012	b04177
b05003	a04012	b04177
b05004	a04012	b04177
a05005	a04120	b04108
a05006	a04120	b04108
b05007	a04120	b04108
b05008	a04120	b04108
a05009	a04160	b04047
a05010	a04160	b04047
b05011	a04160	b04047
a05012	a04160	b04047
b05013	a04116	b04098
b05014	a04116	b04098
b05015	a04116	b04098
a05016	a04116	b04098
a05017	a04004	b04002
b05018	a04004	b04002
b05019	a04004	b04002
b05020	a04004	b04002
b05021	a04075	b04056
a05022	a04075	b04056
b05023	a04075	b04056
b05024	a04075	b04056
b05025	a04171	b04108
a05026	a04171	b04108
a05027	a04171	b04108
a05028	a04171	b04108
b05029	a04004	b04007
b05030	a04004	b04007
a05031	a04004	b04007
a05032	a04004	b04007
b05033	a04045	b04048
a05034	a04045	b04048
a05035	a04045	b04048
a05036	a04045	b04048
b05037	a04001	b04177
b05038	a04001	b04177
a05039	a04001	b04177
b05040	a04001	b04177
a05041	a04063	b04002
a05042	a04063	b04002
a05043	a04063	b04002
b05044	a04063	b04002
b05045	a04068	b04188
a05046	a04068	b04188
b05047	a04068	b04188
a05048	a04068	b04188
a05049	a04114	b04072
b05050	a04114	b04072
a05051	a04114	b04072
a05052	a04114	b04072
b05053	a04175	b04002
a05054	a04175	b04002
a05055	a04175	b04002
b05056	a04175	b04002
b05057	a04120	b04173
a05058	a04120	b04173
b05059	a04120	b04173
a05060	a04120	b04173
a05061	a04122	b04072
a05062	a04122	b04072
a05063	a04122	b04072
a05064	a04122	b04072
b05065	a04010	b04165
b05066	a04010	b04165
a05067	a04010	b04165
a05068	a04010	b04165
a05069	a04100	b04007
a05070	a04100	b04007
a05071	a04100	b04007
a05072	a04100	b04007
b05073	a04064	b04173
a05074	a04064	b04173
a05075	a04064	b04173
a05076	a04064	b04173
b05077	a04100	b04165
a05078	a04100	b04165
b05079	a04100	b04165
b05080	a04100	b04165
b05081	a04065	b04072
a05082	a04065	b04072
b05083	a04065	b04072
a05084	a04065	b04072
a05085	a04116	b04152
b05086	a04116	b04152
b05087	a04116	b04152
b05088	a04116	b04152
a05089	a04053	b04164
a05090	a04053	b04164
a05091	a04053	b04164
b05092	a04053	b04164
a05093	a04012	b04152
a05094	a04012	b04152
a05095	a04012	b04152
a05096	a04012	b04152
b05097	a04063	b04183
a05098	a04063	b04183
b05099	a04063	b04183
b05100	a04063	b04183
b05101	a04093	b04047
a05102	a04093	b04047
a05103	a04093	b04047
b05104	a04093	b04047
a05105	a04006	b04188
a05106	a04006	b04188
a05107	a04006	b04188
b05108	a04006	b04188
a05109	a04142	b04104
a05110	a04142	b04104
b05111	a04142	b04104
a05112	a04142	b04104
a05113	a04010	b04007
a05114	a04010	b04007
a05115	a04010	b04007
b05116	a04010	b04007
b05117	a04019	b04152
a05118	a04019	b04152
a05119	a04019	b04152
a05120	a04019	b04152
a05121	a04093	b04104
b05122	a04093	b04104
b05123	a04093	b04104
a05124	a04093	b04104
b05125	a04171	b04183
b05126	a04171	b04183
b05127	a04171	b04183
a05128	a04171	b04183
a05129	a04064	b04173
a05130	a04064	b04173
b05131	a04064	b04173
b05132	a04064	b04173
a05133	a04114	b04165
b05134	a04114	b04165
b05135	a04114	b04165
a05136	a04114	b04165
b05137	a04142	b04108
a05138	a04142	b04108
a05139	a04142	b04108
b05140	a04142	b04108
a05141	a04187	b04056
b05142	a04187	b04056
b05143	a04187	b04056
a05144	a04187	b04056
a05145	a04065	b04047
b05146	a04065	b04047
a05147	a04065	b04047
b05148	a04065	b04047
b05149	a04175	b04098
a05150	a04175	b04098
a05151	a04175	b04098
b05152	a04175	b04098
a05153	a04187	b04056
b05154	a04187	b04056
b05155	a04187	b04056
a05156	a04187	b04056
a05157	a04075	b04048
a05158	a04075	b04048
a05159	a04075	b04048
a05160	a04075	b04048
b05161	a04053	b04048
a05162	a04053	b04048
a05163	a04053	b04048
b05164	a04053	b04048
b05165	a04122	b04164
a05166	a04122	b04164
a05167	a04122	b04164
a05168	a04122	b04164
b05169	a04019	b04183
b05170	a04019	b04183
b05171	a04019	b04183
a05172	a04019	b04183
b05173	a04001	b04164
a05174	a04001	b04164
b05175	a04001	b04164
a05176	a04001	b04164
b05177	a04068	b04188
b05178	a04068	b04188
a05179	a04068	b04188
b05180	a04068	b04188
b05181	a04160	b04104
a05182	a04160	b04104
a05183	a04160	b04104
a05184	a04160	b04104
a05185	a04045	b04098
b05186	a04045	b04098
b05187	a04045	b04098
a05188	a04045	b04098
a05189	a04006	b04177
b05190	a04006	b04177
b05191	a04006	b04177
b05192	a04006	b04177
