id	dam	sire	birthyear
i103_2006_M	i069_2004_F	i058_2003_M	2006
i104_2006_M	i100_2005_F	i071_2004_M	2006
i105_2006_M	i069_2004_F	i073_2004_M	2006
i106_2006_M	i093_2005_F	i070_2004_M	2006
i107_2006_M	i067_2004_F	i096_2005_M	2006
i108_2006_F	i081_2005_F	i071_2004_M	2006
i109_2006_M	i069_2004_F	i080_2004_M	2006
i110_2006_M	i061_2004_F	i073_2004_M	2006
i111_2006_M	i093_2005_F	i073_2004_M	2006
i112_2006_M	i095_2005_F	i050_2003_M	2006
i113_2006_M	i087_2005_F	i053_2003_M	2006
i114_2006_M	i060_2003_F	i090_2005_M	2006
i115_2006_F	i087_2005_F	i073_2004_M	2006
i116_2006_M	i091_2005_F	i098_2005_M	2006
i117_2006_M	i091_2005_F	i070_2004_M	2006
i118_2006_M	i091_2005_F	i043_2003_M	2006
i119_2006_M	i091_2005_F	i058_2003_M	2006
i120_2006_M	i068_2004_F	i078_2004_M	2006
i121_2007_M	i115_2006_F	i099_2005_M	2007
i122_2007_M	i081_2005_F	i089_2005_M	2007
i123_2007_F	i101_2006_F	i084_2005_M	2007
i124_2007_M	i081_2005_F	i084_2005_M	2007
i125_2007_F	i101_2006_F	i092_2005_M	2007
i126_2007_F	i100_2005_F	i120_2006_M	2007
i127_2007_M	i087_2005_F	i085_2005_M	2007
i128_2007_M	i108_2006_F	i120_2006_M	2007
i129_2007_F	i101_2006_F	i065_2004_M	2007
i130_2007_F	i101_2006_F	i086_2005_M	2007
i131_2007_F	i101_2006_F	i073_2004_M	2007
i132_2007_F	i093_2005_F	i117_2006_M	2007
i133_2007_F	i101_2006_F	i073_2004_M	2007
i134_2007_F	i095_2005_F	i114_2006_M	2007
i135_2007_F	i115_2006_F	i078_2004_M	2007
i136_2007_M	i095_2005_F	i089_2005_M	2007
i137_2007_F	i108_2006_F	i111_2006_M	2007
i138_2007_F	i087_2005_F	i082_2005_M	2007
i139_2007_M	i115_2006_F	i114_2006_M	2007
i140_2007_F	i101_2006_F	i096_2005_M	2007
i141_2008_M	i138_2007_F	i111_2006_M	2008
i142_2008_M	i081_2005_F	i104_2006_M	2008
i143_2008_M	i137_2007_F	i122_2007_M	2008
i144_2008_M	i115_2006_F	i124_2007_M	2008
i145_2008_F	i132_2007_F	i127_2007_M	2008
i146_2008_M	i101_2006_F	i109_2006_M	2008
i147_2008_F	i115_2006_F	i136_2007_M	2008
i148_2008_F	i140_2007_F	i112_2006_M	2008
i149_2008_F	i126_2007_F	i086_2005_M	2008
i150_2008_F	i134_2007_F	i120_2006_M	2008
i151_2008_F	i108_2006_F	i110_2006_M	2008
i152_2008_F	i134_2007_F	i128_2007_M	2008
i153_2008_F	i129_2007_F	i127_2007_M	2008
i154_2008_F	i137_2007_F	i106_2006_M	2008
i155_2008_F	i138_2007_F	i109_2006_M	2008
i156_2008_F	i101_2006_F	i119_2006_M	2008
i157_2008_F	i125_2007_F	i082_2005_M	2008
i158_2008_M	i101_2006_F	i110_2006_M	2008
i159_2008_F	i140_2007_F	i136_2007_M	2008
i160_2008_F	i101_2006_F	i086_2005_M	2008
i161_2009_M	i150_2008_F	i124_2007_M	2009
i162_2009_M	i101_2006_F	i127_2007_M	2009
i163_2009_M	i150_2008_F	i122_2007_M	2009
i164_2009_F	i149_2008_F	i128_2007_M	2009
i165_2009_F	i155_2008_F	i121_2007_M	2009
i166_2009_F	i155_2008_F	i144_2008_M	2009
i167_2009_F	i157_2008_F	i128_2007_M	2009
i168_2009_F	i157_2008_F	i144_2008_M	2009
i169_2009_M	i133_2007_F	i142_2008_M	2009
i170_2009_F	i101_2006_F	i102_2006_M	2009
i171_2009_M	i156_2008_F	i127_2007_M	2009
i172_2009_M	i145_2008_F	i143_2008_M	2009
i173_2009_F	i101_2006_F	i121_2007_M	2009
i174_2009_F	i152_2008_F	i124_2007_M	2009
i175_2009_M	i155_2008_F	i121_2007_M	2009
i176_2009_F	i148_2008_F	i143_2008_M	2009
i177_2009_M	i138_2007_F	i146_2008_M	2009
i178_2009_M	i137_2007_F	i146_2008_M	2009
i179_2009_M	i138_2007_F	i144_2008_M	2009
i180_2009_M	i129_2007_F	i141_2008_M	2009
i181_2010_F	i168_2009_F	i141_2008_M	2010
i182_2010_F	i167_2009_F	i143_2008_M	2010
i183_2010_F	i160_2008_F	i180_2009_M	2010
i184_2010_M	i147_2008_F	i141_2008_M	2010
i185_2010_M	i164_2009_F	i142_2008_M	2010
i186_2010_F	i174_2009_F	i139_2007_M	2010
i187_2010_M	i148_2008_F	i144_2008_M	2010
i188_2010_M	i167_2009_F	i142_2008_M	2010
i189_2010_M	i156_2008_F	i146_2008_M	2010
i190_2010_M	i168_2009_F	i146_2008_M	2010
i191_2010_F	i164_2009_F	i146_2008_M	2010
i192_2010_M	i156_2008_F	i172_2009_M	2010
i193_2010_F	i160_2008_F	i162_2009_M	2010
i194_2010_M	i149_2008_F	i175_2009_M	2010
i195_2010_M	i157_2008_F	i163_2009_M	2010
i196_2010_M	i148_2008_F	i127_2007_M	2010
i197_2010_F	i170_2009_F	i127_2007_M	2010
i198_2010_M	i166_2009_F	i178_2009_M	2010
i199_2010_F	i165_2009_F	i141_2008_M	2010
i200_2010_F	i166_2009_F	i142_2008_M	2010
