ID Sex BirthYear
b01104 2 2001
a01105 1 2001
b01106 2 2001
b01107 2 2001
a01108 1 2001
b01109 2 2001
a01110 1 2001
a01111 1 2001
a01112 1 2001
a01113 1 2001
a01114 1 2001
b01115 2 2001
a01116 1 2001
a01117 1 2001
a01118 1 2001
b01119 2 2001
b01120 2 2001
b01121 2 2001
a01122 1 2001
a01123 1 2001
b01124 2 2001
b01125 2 2001
a01126 1 2001
b01127 2 2001
a01128 1 2001
a01129 1 2001
a01130 1 2001
a01131 1 2001
a01132 1 2001
b01133 2 2001
b01134 2 2001
a01135 1 2001
b01136 2 2001
b01137 2 2001
b01138 2 2001
a01139 1 2001
a01140 1 2001
a01141 1 2001
a01142 1 2001
a01143 1 2001
a01144 1 2001
b01145 2 2001
b01146 2 2001
b01147 2 2001
a01148 1 2001
b01149 2 2001
a01150 1 2001
b01151 2 2001
a01152 1 2001
b01153 2 2001
a01154 1 2001
a01155 1 2001
a01156 1 2001
a01157 1 2001
a01158 1 2001
b01159 2 2001
b01160 2 2001
b01161 2 2001
a01162 1 2001
a01163 1 2001
b01164 2 2001
b01165 2 2001
a01166 1 2001
a01167 1 2001
b01168 2 2001
a01169 1 2001
a01170 1 2001
a01171 1 2001
b01172 2 2001
a01173 1 2001
b01174 2 2001
b01175 2 2001
a01176 1 2001
a01177 1 2001
b01178 2 2001
a01179 1 2001
b01180 2 2001
a01181 1 2001
b01182 2 2001
a01183 1 2001
b01184 2 2001
a01185 1 2001
a01186 1 2001
b01187 2 2001
b01188 2 2001
a01189 1 2001
a01190 1 2001
b01191 2 2001
a01192 1 2001
a02001 1 2002
a02002 1 2002
b02003 2 2002
b02004 2 2002
b02005 2 2002
a02006 1 2002
b02007 2 2002
a02008 1 2002
b02009 2 2002
a02010 1 2002
a02011 1 2002
b02012 2 2002
a02013 1 2002
b02014 2 2002
a02015 1 2002
a02016 1 2002
a02017 1 2002
a02018 1 2002
a02019 1 2002
a02020 1 2002
b02021 2 2002
b02022 2 2002
a02023 1 2002
b02024 2 2002
a02025 1 2002
b02026 2 2002
b02027 2 2002
b02028 2 2002
a02029 1 2002
a02030 1 2002
a02031 1 2002
b02032 2 2002
b02033 2 2002
b02034 2 2002
a02035 1 2002
b02036 2 2002
b02037 2 2002
a02038 1 2002
b02039 2 2002
a02040 1 2002
a02041 1 2002
b02042 2 2002
b02043 2 2002
a02044 1 2002
b02045 2 2002
a02046 1 2002
a02047 1 2002
b02048 2 2002
a02049 1 2002
b02050 2 2002
a02051 1 2002
a02052 1 2002
a02053 1 2002
b02054 2 2002
b02055 2 2002
a02056 1 2002
a02057 1 2002
a02058 1 2002
b02059 2 2002
b02060 2 2002
b02061 2 2002
a02062 1 2002
a02063 1 2002
b02064 2 2002
a02065 1 2002
b02066 2 2002
b02067 2 2002
a02068 1 2002
a02069 1 2002
b02070 2 2002
b02071 2 2002
b02072 2 2002
a02073 1 2002
b02074 2 2002
a02075 1 2002
a02076 1 2002
b02077 2 2002
a02078 1 2002
a02079 1 2002
b02080 2 2002
b02081 2 2002
a02082 1 2002
b02083 2 2002
a02084 1 2002
b02085 2 2002
a02086 1 2002
b02087 2 2002
b02088 2 2002
b02089 2 2002
a02090 1 2002
b02091 2 2002
b02092 2 2002
a02093 1 2002
a02094 1 2002
b02095 2 2002
a02096 1 2002
a02097 1 2002
b02098 2 2002
a02099 1 2002
a02100 1 2002
a02101 1 2002
a02102 1 2002
b02103 2 2002
a02104 1 2002
a02105 1 2002
a02106 1 2002
a02107 1 2002
a02108 1 2002
a02109 1 2002
a02110 1 2002
a02111 1 2002
a02112 1 2002
a02113 1 2002
a02114 1 2002
b02115 2 2002
a02116 1 2002
a02117 1 2002
a02118 1 2002
a02119 1 2002
a02120 1 2002
a02121 1 2002
a02122 1 2002
a02123 1 2002
a02124 1 2002
b02125 2 2002
a02126 1 2002
b02127 2 2002
b02128 2 2002
b02129 2 2002
b02130 2 2002
a02131 1 2002
a02132 1 2002
a02133 1 2002
b02134 2 2002
b02135 2 2002
a02136 1 2002
a02137 1 2002
b02138 2 2002
a02139 1 2002
a02140 1 2002
a02141 1 2002
b02142 2 2002
b02143 2 2002
b02144 2 2002
a02145 1 2002
a02146 1 2002
b02147 2 2002
b02148 2 2002
b02149 2 2002
b02150 2 2002
b02151 2 2002
b02152 2 2002
b02153 2 2002
a02154 1 2002
b02155 2 2002
a02156 1 2002
b02157 2 2002
b02158 2 2002
b02159 2 2002
a02160 1 2002
b02161 2 2002
b02162 2 2002
a02163 1 2002
a02164 1 2002
b02165 2 2002
a02166 1 2002
b02167 2 2002
b02168 2 2002
a02169 1 2002
b02170 2 2002
a02171 1 2002
b02172 2 2002
a02173 1 2002
b02174 2 2002
a02175 1 2002
a02176 1 2002
a02177 1 2002
a02178 1 2002
b02179 2 2002
b02180 2 2002
b02181 2 2002
b02182 2 2002
b02183 2 2002
b02184 2 2002
a02185 1 2002
b02186 2 2002
b02187 2 2002
b02188 2 2002
a02189 1 2002
a02190 1 2002
b02191 2 2002
a02192 1 2002
a03001 1 2003
b03002 2 2003
a03003 1 2003
b03004 2 2003
b03005 2 2003
a03006 1 2003
a03007 1 2003
a03008 1 2003
b03009 2 2003
a03010 1 2003
b03011 2 2003
b03012 2 2003
b03013 2 2003
b03014 2 2003
a03015 1 2003
a03016 1 2003
b03017 2 2003
b03018 2 2003
b03019 2 2003
b03020 2 2003
b03021 2 2003
b03022 2 2003
b03023 2 2003
b03024 2 2003
b03025 2 2003
a03026 1 2003
a03027 1 2003
b03028 2 2003
b03029 2 2003
b03030 2 2003
a03031 1 2003
b03032 2 2003
b03033 2 2003
a03034 1 2003
b03035 2 2003
a03036 1 2003
b03037 2 2003
b03038 2 2003
b03039 2 2003
b03040 2 2003
b03041 2 2003
a03042 1 2003
b03043 2 2003
b03044 2 2003
a03045 1 2003
b03046 2 2003
b03047 2 2003
b03048 2 2003
a03049 1 2003
b03050 2 2003
a03051 1 2003
a03052 1 2003
b03053 2 2003
b03054 2 2003
a03055 1 2003
b03056 2 2003
b03057 2 2003
a03058 1 2003
a03059 1 2003
a03060 1 2003
a03061 1 2003
b03062 2 2003
a03063 1 2003
a03064 1 2003
a03065 1 2003
b03066 2 2003
b03067 2 2003
b03068 2 2003
b03069 2 2003
a03070 1 2003
a03071 1 2003
a03072 1 2003
a03073 1 2003
a03074 1 2003
b03075 2 2003
b03076 2 2003
b03077 2 2003
a03078 1 2003
b03079 2 2003
a03080 1 2003
b03081 2 2003
a03082 1 2003
a03083 1 2003
a03084 1 2003
b03085 2 2003
b03086 2 2003
a03087 1 2003
a03088 1 2003
a03089 1 2003
b03090 2 2003
a03091 1 2003
b03092 2 2003
b03093 2 2003
b03094 2 2003
b03095 2 2003
b03096 2 2003
b03097 2 2003
a03098 1 2003
a03099 1 2003
a03100 1 2003
b03101 2 2003
a03102 1 2003
a03103 1 2003
b03104 2 2003
a03105 1 2003
a03106 1 2003
a03107 1 2003
a03108 1 2003
b03109 2 2003
b03110 2 2003
a03111 1 2003
a03112 1 2003
a03113 1 2003
b03114 2 2003
b03115 2 2003
a03116 1 2003
b03117 2 2003
b03118 2 2003
b03119 2 2003
b03120 2 2003
a03121 1 2003
a03122 1 2003
b03123 2 2003
a03124 1 2003
b03125 2 2003
a03126 1 2003
b03127 2 2003
a03128 1 2003
b03129 2 2003
b03130 2 2003
b03131 2 2003
a03132 1 2003
a03133 1 2003
b03134 2 2003
b03135 2 2003
b03136 2 2003
b03137 2 2003
b03138 2 2003
b03139 2 2003
a03140 1 2003
a03141 1 2003
b03142 2 2003
a03143 1 2003
a03144 1 2003
b03145 2 2003
b03146 2 2003
a03147 1 2003
a03148 1 2003
b03149 2 2003
b03150 2 2003
b03151 2 2003
a03152 1 2003
b03153 2 2003
a03154 1 2003
b03155 2 2003
b03156 2 2003
a03157 1 2003
a03158 1 2003
a03159 1 2003
b03160 2 2003
b03161 2 2003
a03162 1 2003
b03163 2 2003
b03164 2 2003
a03165 1 2003
b03166 2 2003
a03167 1 2003
a03168 1 2003
b03169 2 2003
a03170 1 2003
a03171 1 2003
b03172 2 2003
a03173 1 2003
b03174 2 2003
a03175 1 2003
b03176 2 2003
a03177 1 2003
b03178 2 2003
b03179 2 2003
b03180 2 2003
b03181 2 2003
b03182 2 2003
b03183 2 2003
a03184 1 2003
a03185 1 2003
b03186 2 2003
a03187 1 2003
b03188 2 2003
a03189 1 2003
a03190 1 2003
a03191 1 2003
b03192 2 2003
a04001 1 2004
b04002 2 2004
a04003 1 2004
a04004 1 2004
a04005 1 2004
a04006 1 2004
b04007 2 2004
a04008 1 2004
a04009 1 2004
a04010 1 2004
a04011 1 2004
a04012 1 2004
a04013 1 2004
b04014 2 2004
b04015 2 2004
b04016 2 2004
a04017 1 2004
b04018 2 2004
a04019 1 2004
a04020 1 2004
a04021 1 2004
a04022 1 2004
b04023 2 2004
b04024 2 2004
a04025 1 2004
b04026 2 2004
b04027 2 2004
a04028 1 2004
a04029 1 2004
b04030 2 2004
b04031 2 2004
a04032 1 2004
a04033 1 2004
a04034 1 2004
a04035 1 2004
a04036 1 2004
a04037 1 2004
a04038 1 2004
a04039 1 2004
b04040 2 2004
a04041 1 2004
b04042 2 2004
b04043 2 2004
b04044 2 2004
a04045 1 2004
a04046 1 2004
b04047 2 2004
b04048 2 2004
b04049 2 2004
b04050 2 2004
b04051 2 2004
a04052 1 2004
a04053 1 2004
b04054 2 2004
b04055 2 2004
b04056 2 2004
b04057 2 2004
a04058 1 2004
a04059 1 2004
a04060 1 2004
a04061 1 2004
b04062 2 2004
a04063 1 2004
a04064 1 2004
a04065 1 2004
a04066 1 2004
a04067 1 2004
a04068 1 2004
a04069 1 2004
a04070 1 2004
b04071 2 2004
b04072 2 2004
b04073 2 2004
a04074 1 2004
a04075 1 2004
a04076 1 2004
a04077 1 2004
a04078 1 2004
b04079 2 2004
b04080 2 2004
b04081 2 2004
a04082 1 2004
b04083 2 2004
b04084 2 2004
b04085 2 2004
a04086 1 2004
b04087 2 2004
a04088 1 2004
b04089 2 2004
a04090 1 2004
a04091 1 2004
b04092 2 2004
a04093 1 2004
b04094 2 2004
b04095 2 2004
a04096 1 2004
b04097 2 2004
b04098 2 2004
a04099 1 2004
a04100 1 2004
a04101 1 2004
a04102 1 2004
b04103 2 2004
b04104 2 2004
a04105 1 2004
b04106 2 2004
b04107 2 2004
b04108 2 2004
b04109 2 2004
a04110 1 2004
a04111 1 2004
a04112 1 2004
b04113 2 2004
a04114 1 2004
b04115 2 2004
a04116 1 2004
b04117 2 2004
b04118 2 2004
a04119 1 2004
a04120 1 2004
a04121 1 2004
a04122 1 2004
b04123 2 2004
b04124 2 2004
b04125 2 2004
a04126 1 2004
a04127 1 2004
a04128 1 2004
a04129 1 2004
b04130 2 2004
b04131 2 2004
b04132 2 2004
b04133 2 2004
b04134 2 2004
b04135 2 2004
b04136 2 2004
a04137 1 2004
b04138 2 2004
b04139 2 2004
a04140 1 2004
a04141 1 2004
a04142 1 2004
b04143 2 2004
a04144 1 2004
a04145 1 2004
a04146 1 2004
a04147 1 2004
a04148 1 2004
b04149 2 2004
a04150 1 2004
b04151 2 2004
b04152 2 2004
b04153 2 2004
a04154 1 2004
b04155 2 2004
a04156 1 2004
a04157 1 2004
b04158 2 2004
a04159 1 2004
a04160 1 2004
b04161 2 2004
a04162 1 2004
a04163 1 2004
b04164 2 2004
b04165 2 2004
b04166 2 2004
a04167 1 2004
b04168 2 2004
b04169 2 2004
a04170 1 2004
a04171 1 2004
b04172 2 2004
b04173 2 2004
a04174 1 2004
a04175 1 2004
b04176 2 2004
b04177 2 2004
b04178 2 2004
b04179 2 2004
a04180 1 2004
b04181 2 2004
b04182 2 2004
b04183 2 2004
b04184 2 2004
a04185 1 2004
b04186 2 2004
a04187 1 2004
b04188 2 2004
b04189 2 2004
a04190 1 2004
b04191 2 2004
b04192 2 2004
a05001 1 2005
a05002 1 2005
b05003 2 2005
b05004 2 2005
a05005 1 2005
a05006 1 2005
b05007 2 2005
b05008 2 2005
a05009 1 2005
a05010 1 2005
b05011 2 2005
a05012 1 2005
b05013 2 2005
b05014 2 2005
b05015 2 2005
a05016 1 2005
a05017 1 2005
b05018 2 2005
b05019 2 2005
b05020 2 2005
b05021 2 2005
a05022 1 2005
b05023 2 2005
b05024 2 2005
b05025 2 2005
a05026 1 2005
a05027 1 2005
a05028 1 2005
b05029 2 2005
b05030 2 2005
a05031 1 2005
a05032 1 2005
b05033 2 2005
a05034 1 2005
a05035 1 2005
a05036 1 2005
b05037 2 2005
b05038 2 2005
a05039 1 2005
b05040 2 2005
a05041 1 2005
a05042 1 2005
a05043 1 2005
b05044 2 2005
b05045 2 2005
a05046 1 2005
b05047 2 2005
a05048 1 2005
a05049 1 2005
b05050 2 2005
a05051 1 2005
a05052 1 2005
b05053 2 2005
a05054 1 2005
a05055 1 2005
b05056 2 2005
b05057 2 2005
a05058 1 2005
b05059 2 2005
a05060 1 2005
a05061 1 2005
a05062 1 2005
a05063 1 2005
a05064 1 2005
b05065 2 2005
b05066 2 2005
a05067 1 2005
a05068 1 2005
a05069 1 2005
a05070 1 2005
a05071 1 2005
a05072 1 2005
b05073 2 2005
a05074 1 2005
a05075 1 2005
a05076 1 2005
b05077 2 2005
a05078 1 2005
b05079 2 2005
b05080 2 2005
b05081 2 2005
a05082 1 2005
b05083 2 2005
a05084 1 2005
a05085 1 2005
b05086 2 2005
b05087 2 2005
b05088 2 2005
a05089 1 2005
a05090 1 2005
a05091 1 2005
b05092 2 2005
a05093 1 2005
a05094 1 2005
a05095 1 2005
a05096 1 2005
b05097 2 2005
a05098 1 2005
b05099 2 2005
b05100 2 2005
b05101 2 2005
a05102 1 2005
a05103 1 2005
b05104 2 2005
a05105 1 2005
a05106 1 2005
a05107 1 2005
b05108 2 2005
a05109 1 2005
a05110 1 2005
b05111 2 2005
a05112 1 2005
a05113 1 2005
a05114 1 2005
a05115 1 2005
b05116 2 2005
b05117 2 2005
a05118 1 2005
a05119 1 2005
a05120 1 2005
a05121 1 2005
b05122 2 2005
b05123 2 2005
a05124 1 2005
b05125 2 2005
b05126 2 2005
b05127 2 2005
a05128 1 2005
a05129 1 2005
a05130 1 2005
b05131 2 2005
b05132 2 2005
a05133 1 2005
b05134 2 2005
b05135 2 2005
a05136 1 2005
b05137 2 2005
a05138 1 2005
a05139 1 2005
b05140 2 2005
a05141 1 2005
b05142 2 2005
b05143 2 2005
a05144 1 2005
a05145 1 2005
b05146 2 2005
a05147 1 2005
b05148 2 2005
b05149 2 2005
a05150 1 2005
a05151 1 2005
b05152 2 2005
a05153 1 2005
b05154 2 2005
b05155 2 2005
a05156 1 2005
a05157 1 2005
a05158 1 2005
a05159 1 2005
a05160 1 2005
b05161 2 2005
a05162 1 2005
a05163 1 2005
b05164 2 2005
b05165 2 2005
a05166 1 2005
a05167 1 2005
a05168 1 2005
b05169 2 2005
b05170 2 2005
b05171 2 2005
a05172 1 2005
b05173 2 2005
a05174 1 2005
b05175 2 2005
a05176 1 2005
b05177 2 2005
b05178 2 2005
a05179 1 2005
b05180 2 2005
b05181 2 2005
a05182 1 2005
a05183 1 2005
a05184 1 2005
a05185 1 2005
b05186 2 2005
b05187 2 2005
a05188 1 2005
a05189 1 2005
b05190 2 2005
b05191 2 2005
b05192 2 2005
